Date,Symbol,Order,Shares
2014-07-17,FB,SELL,100
2014-07-23,FB,BUY,100
2014-08-26,FB,BUY,100
2014-09-02,FB,BUY,100
2014-09-15,FB,SELL,100
2014-10-28,FB,BUY,100
2014-10-29,FB,BUY,100
2014-10-30,FB,SELL,100
2014-11-26,FB,BUY,100
2014-12-04,FB,BUY,100
2014-12-19,FB,BUY,100
2015-01-05,FB,SELL,100
2015-02-19,FB,BUY,100
2015-03-11,FB,SELL,100
2015-03-19,FB,BUY,100
2015-04-06,FB,SELL,100
2015-05-28,FB,BUY,100
2015-05-29,FB,SELL,100
2015-06-22,FB,BUY,100
2015-08-06,FB,BUY,100
2015-08-17,FB,SELL,100
2015-09-17,FB,BUY,100
2015-09-28,FB,SELL,100
2015-10-15,FB,BUY,100
2015-10-15,FB,BUY,100
2015-09-24,FB,SELL,100
2015-09-17,FB,BUY,100
2015-08-12,FB,SELL,100
2015-07-30,FB,SELL,100
2015-06-22,FB,BUY,100
2015-05-29,FB,SELL,100
2015-05-28,FB,BUY,100
2015-04-01,FB,SELL,100
2015-03-19,FB,BUY,100
2015-03-09,FB,SELL,100
2015-02-19,FB,BUY,100
2014-12-31,FB,SELL,100
2014-12-16,FB,SELL,100
2014-12-01,FB,SELL,100
2014-11-26,FB,BUY,100
2014-10-30,FB,SELL,100
2014-10-29,FB,SELL,100
2014-10-28,FB,BUY,100
2014-09-15,FB,SELL,100
2014-08-28,FB,SELL,100
2014-08-12,FB,SELL,100
2014-07-23,FB,BUY,100